# emapper version: emapper-1.0.3 emapper DB: 4.5.1-RA	
# command: ./emapper.py  -i ../Amillepora.proteins.fa --output Amillepora_euk -d euk --usemem --cpu 60-RA	
# time: Tue Oct  2 21:05:37 2018-RA	
#query_name-RA	eggNOG annot
Amillepora17218-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17219-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17225-RA	Pao retrotransposon peptidase 
Amillepora17224-RA	Inherit from euNOG: solute carrier family 17
Amillepora17234-RA	Inherit from KOG: transposon protein
Amillepora17233-RA	Transposable element Tc3 transposase
Amillepora17231-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17229-RA	Inherit from KOG: Growth factor receptor
Amillepora17230-RA	ZnF_C2H2
Amillepora17235-RA	Inherit from KOG: Growth factor receptor
Amillepora17241-RA	piggyBac transposable element derived 4
Amillepora17237-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17250-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17261-RA	YqaJ-like viral recombinase domain
Amillepora17262-RA	DNA helicase
Amillepora17263-RA	protein Hydra magnipapillata
Amillepora17270-RA	Glyoxalase I
Amillepora17278-RA	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Amillepora17273-RA	Transmembrane protease serine 6
Amillepora17276-RA	integrase core domain protein
Amillepora17288-RA	Inherit from euNOG: solute carrier family 17
Amillepora17293-RA	SCAN domain
Amillepora17295-RA	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8
Amillepora17294-RA	Integrase core domain
Amillepora17311-RA	piggyBac transposable element derived 4
Amillepora17319-RA	Carboxypeptidase
Amillepora17313-RA	Conserved hypothetical protein
Amillepora17320-RA	Inherit from KOG: Retrotransposon protein
Amillepora17322-RA	multicellular organismal development
Amillepora17323-RA	Pao retrotransposon peptidase 
Amillepora17325-RA	Inherit from KOG: Cytochrome p450
Amillepora17330-RA	Inherit from KOG: Growth factor receptor
Amillepora17341-RA	Inherit from euNOG: solute carrier family 17
Amillepora17342-RA	Inherit from euNOG: solute carrier family 17
Amillepora17363-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17373-RA	YqaJ-like viral recombinase domain
Amillepora17370-RA	Hydra magnipapillata
Amillepora17369-RA	Hydra magnipapillata
Amillepora17374-RA	protein Hydra magnipapillata
Amillepora17378-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17379-RA	YqaJ-like viral recombinase domain
Amillepora17387-RA	protein Hydra magnipapillata
Amillepora17395-RA	Inherit from KOG: Retrotransposon protein
Amillepora17400-RA	Inherit from KOG: Growth factor receptor
Amillepora17402-RA	Inherit from euNOG: solute carrier family 17
Amillepora17396-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17403-RA	Inherit from euNOG: Retrotransposon protein
Amillepora17399-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17398-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17405-RA	protein Hydra magnipapillata
Amillepora17463-RA	Inherit from euNOG: solute carrier family 17
Amillepora17418-RA	Pao retrotransposon peptidase 
Amillepora17483-RA	Inherit from euNOG: Retrotransposon protein
Amillepora17482-RA	Inherit from euNOG: solute carrier family 17
Amillepora17478-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17498-RA	to transposase domain-containing protein
Amillepora17493-RA	Endonuclease/Exonuclease/phosphatase family
Amillepora17504-RA	F-box and leucine-rich repeat protein 5
Amillepora17506-RA	Transcription factor Pcc1
Amillepora17505-RA	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase
Amillepora17507-RA	glucose-6-phosphate 1-dehydrogenase
Amillepora17500-RA	tetratricopeptide repeat domain
Amillepora17606-RA	Inherit from COG: Retrotransposon protein
Amillepora17603-RA	Inherit from euNOG: Retrotransposon protein
Amillepora17610-RA	Pao retrotransposon peptidase 
Amillepora17695-RA	Inherit from KOG: Retrotransposon protein
Amillepora17702-RA	Inherit from KOG: Growth factor receptor
Amillepora17697-RA	Hydra magnipapillata
Amillepora17706-RA	Inherit from KOG: Growth factor receptor
Amillepora17711-RA	guanine nucleotide binding protein-like 3
Amillepora17715-RA	Neuronal pentraxin
Amillepora17723-RA	ubiquitin carboxyl-terminal hydrolase
Amillepora17726-RA	Inherit from euNOG: Retrotransposon protein
Amillepora17720-RA	protein Hydra magnipapillata
Amillepora17727-RA	Dihydroxy-acid dehydratase
Amillepora17731-RA	Inherit from KOG: Growth factor receptor
Amillepora17729-RA	Inherit from KOG: Growth factor receptor
Amillepora17745-RA	Pao retrotransposon peptidase 
Amillepora17743-RA	Inherit from KOG: Growth factor receptor
Amillepora17746-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17744-RA	Reverse transcriptase
Amillepora17749-RA	protein Hydra magnipapillata
Amillepora17757-RA	POTE ankyrin domain family, member
Amillepora17766-RA	kelch-like
Amillepora17764-RA	helicase
Amillepora17769-RA	ankyrin repeat domain 16
Amillepora17771-RA	Common central domain of tyrosinase
Amillepora17773-RA	Common central domain of tyrosinase
Amillepora17767-RA	FBOX
Amillepora17770-RA	Ankyrin repeat domain 54
Amillepora17783-RA	RNA methyltransferase like 1
Amillepora17780-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17790-RA	piggyBac transposable element derived 4
Amillepora17795-RA	Inherit from veNOG: Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17793-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17787-RA	Zinc finger protein 862
Amillepora17788-RA	piggyBac transposable element derived 4
Amillepora17799-RA	conserved hypothetical protein
Amillepora17803-RA	Transposase family tnp2
Amillepora17801-RA	Inherit from euNOG: Retrotransposon protein
Amillepora17814-RA	MAM domain containing 4
Amillepora17816-RA	solute carrier family 29 (nucleoside transporters), member
Amillepora17815-RA	selenophosphate synthetase
Amillepora17812-RA	Solute carrier family 37 (glycerol-3-phosphate transporter), member
Amillepora17825-RA	Inherit from euNOG: Retrotransposon protein
Amillepora17827-RA	Pao retrotransposon peptidase 
Amillepora17828-RA	g2 mitotic-specific
Amillepora17833-RA	structural maintenance of chromosomes protein
Amillepora17835-RA	structural maintenance of chromosomes protein
Amillepora17832-RA	structural maintenance of chromosomes protein
Amillepora17837-RA	Pao retrotransposon peptidase 
Amillepora17839-RA	Pao retrotransposon peptidase 
Amillepora17829-RA	Inherit from euNOG: solute carrier family 17
Amillepora17840-RA	structural maintenance of chromosomes protein
Amillepora17847-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17843-RA	structural maintenance of chromosomes protein
Amillepora17852-RA	Inherit from euNOG: solute carrier family 17
Amillepora17855-RA	Inherit from euNOG: solute carrier family 17
Amillepora17854-RA	Inherit from euNOG: solute carrier family 17
Amillepora17860-RA	n-ethylmaleimide-sensitive factor
Amillepora17864-RA	n-ethylmaleimide-sensitive factor
Amillepora17870-RA	Helicase with zinc finger
Amillepora17865-RA	Inherit from euNOG: Retrotransposon protein
Amillepora17868-RA	nitrogen permease regulator-like 2 (S. cerevisiae)
Amillepora17882-RA	Helicase with zinc finger
Amillepora17875-RA	Hydra magnipapillata
Amillepora17887-RA	Involved in vacuolar transport and vacuole pH homeostasis. Also required for cytokinesis (By similarity)
Amillepora17890-RA	adenosylhomocysteinase
Amillepora17893-RA	DENN MADD domain containing
Amillepora17894-RA	chromosome 17 open reading frame 59
Amillepora17919-RA	Hairy and enhancer of split
Amillepora17918-RA	Transmembrane protein 209
Amillepora17920-RA	3-hydroxybutyrate dehydrogenase, type 2
Amillepora17921-RA	Component of oligomeric golgi complex 5
Amillepora17928-RA	Hairy and enhancer of split
Amillepora17925-RA	Hairy and enhancer of split
Amillepora17923-RA	Potassium channel subfamily K member
Amillepora17927-RA	Hairy and enhancer of split
Amillepora17932-RA	Growth factor receptor
Amillepora17930-RA	Hemicentin 1
Amillepora17933-RA	Growth factor receptor
Amillepora17935-RA	kiaa1958
Amillepora17929-RA	PTK7 protein tyrosine kinase 7
Amillepora17939-RA	FA58C
Amillepora17936-RA	Fibroblast growth factor receptor
Amillepora17937-RA	Fibroblast growth factor receptor
Amillepora17938-RA	Fibroblast growth factor receptor
Amillepora17946-RA	centromere protein K
Amillepora17943-RA	PTK7 protein tyrosine kinase 7
Amillepora17944-RA	collagen, type
Amillepora17945-RA	HMG-box transcription factor 1
Amillepora17950-RA	lactamase, beta-like 1
Amillepora17951-RA	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora17947-RA	DNA repair protein
Amillepora17953-RA	bcl2-like 1
Amillepora17954-RA	POTE ankyrin domain family, member
Amillepora17958-RA	DBF4 homolog (S. cerevisiae)
Amillepora17960-RA	Inherit from euNOG: solute carrier family 17
Amillepora17966-RA	DNA crosslink repair
Amillepora17963-RA	Inherit from KOG: Growth factor receptor
Amillepora17969-RA	Dicer-like endonuclease involved in cleaving double- stranded RNA in the RNA interference (RNAi) pathway. Produces 21 to 25 bp dsRNAs (siRNAs) which target the selective destruction of homologous RNAs leading to sequence-specific suppression of gene expression, called post-transcriptional gene silencing (PTGS). Part of a broad host defense response against viral infection and transposons
Amillepora17964-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17967-RA	FYVE, RhoGEF and PH domain containing
Amillepora17974-RA	Coiled-coil domain containing 9
Amillepora17975-RA	GLutaRedoXin
Amillepora17972-RA	Fanconi anemia complementation group d2
Amillepora17970-RA	cysteine-rich, DPF motif domain containing 1
Amillepora17990-RA	DNA/RNA non-specific endonuclease
Amillepora17985-RA	mitogen-activated protein kinase kinase kinase
Amillepora17994-RA	Involved in vacuolar transport and vacuole pH homeostasis. Also required for cytokinesis (By similarity)
Amillepora17998-RA	Cyclin-dependent kinase
Amillepora17996-RA	ceramide
Amillepora17995-RA	Involved in vacuolar transport and vacuole pH homeostasis. Also required for cytokinesis (By similarity)
Amillepora18007-RA	pyroglutamylated RFamide peptide receptor
Amillepora18008-RA	mitogen-activated protein kinase kinase kinase
Amillepora18011-RA	Tubulin, gamma complex associated protein
Amillepora18010-RA	pyroglutamylated RFamide peptide receptor
Amillepora18012-RA	Sortilin 1
Amillepora18013-RA	Transmembrane protein 110
Amillepora18031-RA	protein Hydra magnipapillata
Amillepora18039-RA	Inherit from KOG: Retrotransposon protein
Amillepora18034-RA	mitogen-activated protein kinase kinase kinase
Amillepora18037-RA	mitogen-activated protein kinase kinase kinase
Amillepora18035-RA	kinase kinase kinase
Amillepora18046-RA	kinase kinase kinase
Amillepora18042-RA	protein, partial Hydra magnipapillata
Amillepora18043-RA	mitogen-activated protein kinase kinase kinase
Amillepora18055-RA	mitogen-activated protein kinase kinase kinase
Amillepora18051-RA	kinase kinase kinase
Amillepora18064-RA	HEAT repeat containing 4
Amillepora18067-RA	Arylsulfatase
Amillepora18065-RA	Exoribonuclease 1
Amillepora18060-RA	kinase kinase kinase
Amillepora18066-RA	Arylsulfatase
Amillepora18068-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora18076-RA	zf-AD
Amillepora18075-RA	DDB1 and CUL4 associated factor 17
Amillepora18074-RA	R3H domain and coiled-coil containing
Amillepora18081-RA	ovochymase
Amillepora18072-RA	Nuclear transcription factor Y
Amillepora18078-RA	F-box and WD repeat domain containing 11
Amillepora18077-RA	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases (By similarity)
Amillepora18070-RA	chromosome X open reading frame 26
Amillepora18085-RA	Fibroblast growth factor receptor
Amillepora18087-RA	family with sequence similarity 178, member B
Amillepora18089-RA	Pao retrotransposon peptidase 
Amillepora18097-RA	Inherit from euNOG: solute carrier family 17
Amillepora18104-RA	Allantoicase
Amillepora18107-RA	Inherit from KOG: Growth factor receptor
Amillepora18108-RA	Allantoicase
Amillepora18111-RA	Allantoicase
Amillepora18106-RA	Allantoicase
Amillepora18110-RA	Allantoicase
Amillepora18105-RA	Allantoicase
Amillepora18115-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora18120-RA	Inherit from COG: Retrotransposon protein
Amillepora18124-RA	Regulator of G-protein signaling
Amillepora18125-RA	Transcription elongation factor
Amillepora18122-RA	Inherit from KOG: Growth factor receptor
Amillepora18123-RA	Inherit from KOG: Growth factor receptor
Amillepora18133-RA	ankyrin repeat
Amillepora18135-RA	transmembrane protein 68
Amillepora18127-RA	solute carrier family 16, member
Amillepora18131-RA	Eukaryotic translation elongation factor 1
Amillepora18134-RA	Additional sex combs like 1 (Drosophila)
Amillepora18128-RA	Histone acetyltransferase
Amillepora18137-RA	prostaglandin G H synthase and cyclooxygenase
Amillepora18136-RA	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18139-RA	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18143-RA	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18142-RA	prostaglandin G H synthase and cyclooxygenase
Amillepora18154-RA	myosin light chain kinase
Amillepora18151-RA	palladin, cytoskeletal associated protein
Amillepora18152-RA	sidekick cell adhesion molecule 2
Amillepora18148-RA	mitochondrial chaperone
Amillepora18145-RA	prostaglandin G H synthase and cyclooxygenase
Amillepora18144-RA	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18146-RA	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18166-RA	XK, Kell blood group complex subunit-related family, member
Amillepora18162-RA	synthetase
Amillepora18165-RA	XK, Kell blood group complex subunit-related family, member
Amillepora18159-RA	FAD dependent oxidoreductase
Amillepora18157-RA	nucleolar protein 10
Amillepora18164-RA	ANK
Amillepora18169-RA	serum glucocorticoid regulated kinase
Amillepora18167-RA	PIH1 domain containing
Amillepora18168-RA	protein kinase-like protein SgK196-like
Amillepora18172-RA	serum glucocorticoid regulated kinase
Amillepora18179-RA	Inherit from KOG: wd repeat
Amillepora18183-RA	ornithine decarboxylase
Amillepora18176-RA	integrator complex subunit 2
Amillepora18182-RA	Meckel syndrome, type 1
Amillepora18175-RA	tyrosine aminotransferase
Amillepora18189-RA	GPN-loop GTPase 3
Amillepora18186-RA	Solute carrier family 2 (Facilitated glucose transporter) member
Amillepora18190-RA	Rieske (Fe-S) domain containing
Amillepora18188-RA	ubiquitin-conjugating enzyme E2L
Amillepora18185-RA	Tachykinin receptor
Amillepora18195-RA	ATP GTP binding
Amillepora18194-RA	ATPdependent RNA helicase
Amillepora18191-RA	ATPdependent RNA helicase
Amillepora18207-RA	Inherit from KOG: GON domain
Amillepora18240-RA	tumor suppressing subtransferable candidate 1
Amillepora18239-RA	Inherit from KOG: collagen, type
Amillepora18212-RA	Pao retrotransposon peptidase 
Amillepora18242-RA	Family with sequence similarity 49, member
Amillepora18214-RA	Inherit from KOG: collagen, type
Amillepora18243-RA	biphenyl hydrolase-like (serine hydrolase
Amillepora18241-RA	nucleolar gtp-binding protein
Amillepora18247-RA	EGF_like
Amillepora18245-RA	Transmembrane protein 214
Amillepora18244-RA	nucleolar protein 4
Amillepora18258-RA	acid-sensing (proton-gated) ion channel
